dimension, 678, 591
Result (x y micro-second), 47, 47, 1022
Result (x y micro-second), 32, 32, 1537
Result (x y micro-second), 29, 11, 1499
Result (x y micro-second), 29, 16, 1527
Result (x y micro-second), 29, 16, 1521
Result (x y micro-second), 5, 47, 1631
Result (x y micro-second), 13, 32, 1574
Result (x y micro-second), 7, 16, 1548
Result (x y micro-second), 23, 16, 1535
Result (x y micro-second), 23, 32, 1566
Result (x y micro-second), 29, 47, 1002
Result (x y micro-second), 16, 47, 1560
Result (x y micro-second), 11, 5, 1567
Result (x y micro-second), 29, 16, 1495
Result (x y micro-second), 13, 7, 1515
Result (x y micro-second), 16, 1, 1826
Result (x y micro-second), 1, 1, 8395
Result (x y micro-second), 32, 23, 1502
Result (x y micro-second), 11, 7, 1528
Result (x y micro-second), 1, 32, 2375
Result (x y micro-second), 29, 64, 1014
Result (x y micro-second), 29, 1, 1633
Result (x y micro-second), 32, 47, 1007
Result (x y micro-second), 11, 5, 1572
Result (x y micro-second), 5, 29, 1621
Result (x y micro-second), 29, 47, 1019
Result (x y micro-second), 16, 5, 1493
Result (x y micro-second), 29, 29, 1569
Result (x y micro-second), 7, 11, 1667
Result (x y micro-second), 5, 23, 1642
Result (x y micro-second), 23, 23, 1539
Result (x y micro-second), 23, 13, 1484
Result (x y micro-second), 23, 13, 1496
Result (x y micro-second), 32, 32, 1466
Result (x y micro-second), 23, 47, 1006
Result (x y micro-second), 16, 5, 1498
Result (x y micro-second), 32, 64, 999
Result (x y micro-second), 64, 11, 1510
Result (x y micro-second), 29, 11, 1485
Result (x y micro-second), 7, 32, 1552
Result (x y micro-second), 32, 32, 1504
Result (x y micro-second), 23, 11, 1488
Result (x y micro-second), 47, 11, 1504
Result (x y micro-second), 64, 64, 1004
Result (x y micro-second), 13, 1, 1935
Result (x y micro-second), 11, 32, 1535
Result (x y micro-second), 13, 32, 1502
Result (x y micro-second), 1, 32, 2379
Result (x y micro-second), 5, 32, 1604
Result (x y micro-second), 11, 16, 1536
Result (x y micro-second), 23, 47, 1015
Result (x y micro-second), 13, 7, 1515
Result (x y micro-second), 23, 13, 1516
Result (x y micro-second), 11, 7, 1529
Result (x y micro-second), 16, 23, 1477
Result (x y micro-second), 1, 7, 2858
Result (x y micro-second), 5, 23, 1635
Result (x y micro-second), 11, 64, 1599
Result (x y micro-second), 29, 1, 1638
Result (x y micro-second), 47, 64, 1013
Result (x y micro-second), 1, 1, 8333
Result (x y micro-second), 29, 7, 1509
Result (x y micro-second), 32, 29, 2031
Result (x y micro-second), 47, 29, 1030
Result (x y micro-second), 11, 5, 1211
Result (x y micro-second), 64, 47, 1021
Result (x y micro-second), 64, 13, 1185
Result (x y micro-second), 47, 23, 1015
Result (x y micro-second), 23, 1, 1367
Result (x y micro-second), 23, 1, 1406
Result (x y micro-second), 13, 23, 1212
Result (x y micro-second), 1, 16, 2131
Result (x y micro-second), 1, 13, 2157
Result (x y micro-second), 13, 16, 1167
Result (x y micro-second), 13, 5, 1200
Result (x y micro-second), 13, 11, 1184
Result (x y micro-second), 5, 5, 1425
Result (x y micro-second), 11, 29, 1207
Result (x y micro-second), 23, 5, 1156
Result (x y micro-second), 11, 47, 1256
Result (x y micro-second), 11, 7, 1191
Result (x y micro-second), 23, 1, 1376
Result (x y micro-second), 13, 7, 1178
Result (x y micro-second), 23, 64, 1015
Result (x y micro-second), 7, 1, 2052
Result (x y micro-second), 64, 23, 1010
Result (x y micro-second), 23, 47, 1022
Result (x y micro-second), 1, 23, 2066
Result (x y micro-second), 7, 11, 1238
Result (x y micro-second), 5, 13, 1297
Result (x y micro-second), 7, 11, 1233
Result (x y micro-second), 29, 5, 1143
Result (x y micro-second), 7, 1, 2051
Result (x y micro-second), 32, 47, 1015
Result (x y micro-second), 5, 1, 2452
Result (x y micro-second), 16, 13, 1140
Result (x y micro-second), 1, 47, 2255
Result (x y micro-second), 16, 16, 1151
Result (x y micro-second), 5, 47, 1277
Result (x y micro-second), 13, 11, 1179
Result (x y micro-second), 47, 7, 1159
Result (x y micro-second), 32, 11, 1141
Result (x y micro-second), 1, 23, 2069
Result (x y micro-second), 29, 7, 1159
Result (x y micro-second), 47, 23, 1010
Result (x y micro-second), 13, 1, 1590
Result (x y micro-second), 64, 5, 1129
Result (x y micro-second), 5, 5, 1474
Result (x y micro-second), 5, 29, 1262
Result (x y micro-second), 32, 1, 1298
Result (x y micro-second), 29, 5, 1142
Result (x y micro-second), 11, 32, 1205
Result (x y micro-second), 64, 23, 1021
Result (x y micro-second), 7, 47, 1257
Result (x y micro-second), 7, 13, 1229
Result (x y micro-second), 1, 64, 1937
Result (x y micro-second), 23, 32, 1236
Result (x y micro-second), 7, 23, 1245
Result (x y micro-second), 11, 29, 1198
Result (x y micro-second), 23, 1, 1365
Result (x y micro-second), 11, 1, 1684
Result (x y micro-second), 47, 1, 1203
Result (x y micro-second), 64, 47, 1017
Result (x y micro-second), 5, 47, 1278
Result (x y micro-second), 16, 32, 1169
Result (x y micro-second), 47, 1, 1205
Result (x y micro-second), 29, 64, 1016
Result (x y micro-second), 23, 23, 1201
Result (x y micro-second), 16, 23, 1157
Result (x y micro-second), 16, 32, 1158
Result (x y micro-second), 64, 11, 1196
Result (x y micro-second), 16, 13, 1159
Result (x y micro-second), 1, 29, 2047
Result (x y micro-second), 64, 5, 1132
Result (x y micro-second), 5, 13, 1347
Result (x y micro-second), 64, 13, 1158
Result (x y micro-second), 7, 47, 1260
Result (x y micro-second), 13, 64, 1242
Result (x y micro-second), 29, 13, 1158
Result (x y micro-second), 32, 64, 994
Result (x y micro-second), 64, 13, 1153
Result (x y micro-second), 64, 23, 1016
Result (x y micro-second), 13, 16, 1178
Result (x y micro-second), 5, 29, 1268
Result (x y micro-second), 47, 13, 1168
Result (x y micro-second), 7, 47, 1261
Result (x y micro-second), 29, 29, 1208
Result (x y micro-second), 7, 16, 1230
Result (x y micro-second), 5, 64, 1271
Result (x y micro-second), 16, 11, 1153
Result (x y micro-second), 5, 13, 1279
Result (x y micro-second), 29, 5, 1149
Result (x y micro-second), 1, 64, 1942
Result (x y micro-second), 1, 29, 2024
Result (x y micro-second), 11, 23, 1183
Result (x y micro-second), 16, 7, 1143
Result (x y micro-second), 1, 7, 2557
Result (x y micro-second), 32, 7, 1141
Result (x y micro-second), 32, 29, 1155
Result (x y micro-second), 29, 13, 1159
Result (x y micro-second), 64, 64, 1010
Result (x y micro-second), 7, 13, 1228
Result (x y micro-second), 13, 7, 1181
Result (x y micro-second), 64, 23, 1012
Result (x y micro-second), 7, 7, 1269
Result (x y micro-second), 47, 5, 1143
Result (x y micro-second), 23, 11, 1148
Result (x y micro-second), 11, 29, 1191
Result (x y micro-second), 1, 5, 2868
Result (x y micro-second), 5, 5, 1431
Result (x y micro-second), 32, 23, 1201
Result (x y micro-second), 11, 23, 1203
Result (x y micro-second), 47, 47, 1015
Result (x y micro-second), 23, 13, 1159
Result (x y micro-second), 13, 7, 1172
Result (x y micro-second), 23, 11, 1151
Result (x y micro-second), 5, 47, 1275
Result (x y micro-second), 16, 23, 1170
Result (x y micro-second), 47, 13, 1153
Result (x y micro-second), 64, 1, 1176
Result (x y micro-second), 23, 23, 1195
Result (x y micro-second), 1, 1, 7975
Result (x y micro-second), 29, 5, 1143
Result (x y micro-second), 16, 32, 1165
Result (x y micro-second), 7, 23, 1241
Result (x y micro-second), 47, 64, 1089
Result (x y micro-second), 1, 1, 7974
Result (x y micro-second), 11, 29, 1182
Result (x y micro-second), 29, 47, 1015
Result (x y micro-second), 47, 1, 1207
Result (x y micro-second), 5, 13, 1293
Result (x y micro-second), 5, 1, 2457
Result (x y micro-second), 1, 29, 2031
Result (x y micro-second), 13, 64, 1249
Result (x y micro-second), 47, 11, 1173
Result (x y micro-second), 32, 11, 1146
Result (x y micro-second), 47, 32, 1018
Result (x y micro-second), 11, 23, 1185
Result (x y micro-second), 47, 23, 1018
Result (x y micro-second), 5, 64, 1275
Result (x y micro-second), 64, 64, 1021
Result (x y micro-second), 29, 64, 1015
Result (x y micro-second), 64, 1, 1175
Result (x y micro-second), 13, 16, 1181
Result (x y micro-second), 29, 1, 1300
Result (x y micro-second), 11, 32, 1215
Result (x y micro-second), 11, 16, 1202
Result (x y micro-second), 29, 11, 1146
Result (x y micro-second), 64, 1, 1169
Result (x y micro-second), 1, 23, 2065
Result (x y micro-second), 7, 47, 1250
Result (x y micro-second), 47, 47, 1019
Result (x y micro-second), 13, 64, 1255
Result (x y micro-second), 13, 5, 1214
Result (x y micro-second), 11, 11, 1188
Result (x y micro-second), 1, 11, 2213
Result (x y micro-second), 11, 16, 1178
Result (x y micro-second), 1, 1, 7978
Result (x y micro-second), 16, 16, 1145
Result (x y micro-second), 16, 7, 1156
Result (x y micro-second), 11, 47, 1257
Result (x y micro-second), 32, 23, 1186
Result (x y micro-second), 5, 7, 1428
Result (x y micro-second), 32, 47, 1015
Result (x y micro-second), 11, 32, 1205
Result (x y micro-second), 13, 11, 1176
Result (x y micro-second), 13, 5, 1197
Result (x y micro-second), 5, 29, 1266
Result (x y micro-second), 47, 13, 1169
Result (x y micro-second), 32, 7, 1128
Result (x y micro-second), 29, 23, 1156
Result (x y micro-second), 16, 32, 1166
Result (x y micro-second), 1, 16, 2131
Result (x y micro-second), 47, 13, 1148
Result (x y micro-second), 32, 5, 1131
Result (x y micro-second), 13, 5, 1196
Result (x y micro-second), 32, 64, 1012
Result (x y micro-second), 16, 29, 1174
Result (x y micro-second), 7, 7, 1263
Result (x y micro-second), 16, 11, 1203
Result (x y micro-second), 47, 32, 997
Result (x y micro-second), 23, 7, 1164
Result (x y micro-second), 47, 16, 1186
Result (x y micro-second), 29, 16, 1172
Result (x y micro-second), 47, 7, 1162
Result (x y micro-second), 29, 13, 1171
Result (x y micro-second), 32, 64, 1012
Result (x y micro-second), 5, 29, 1265
Result (x y micro-second), 16, 64, 1196
Result (x y micro-second), 47, 1, 1213
Result (x y micro-second), 64, 7, 1150
Result (x y micro-second), 64, 29, 1010
Result (x y micro-second), 5, 16, 1271
Result (x y micro-second), 13, 5, 1216
Result (x y micro-second), 29, 29, 1187
Result (x y micro-second), 13, 11, 1175
Result (x y micro-second), 13, 32, 1250
Result (x y micro-second), 13, 1, 1603
Result (x y micro-second), 11, 1, 1698
Result (x y micro-second), 23, 5, 1155
Result (x y micro-second), 11, 1, 1682
Result (x y micro-second), 16, 47, 1201
Result (x y micro-second), 1, 29, 2033
Result (x y micro-second), 11, 11, 1184
Result (x y micro-second), 13, 5, 1195
Result (x y micro-second), 5, 5, 1433
Result (x y micro-second), 11, 5, 1224
Result (x y micro-second), 47, 11, 1179
Result (x y micro-second), 23, 1, 1361
Result (x y micro-second), 13, 1, 1595
Result (x y micro-second), 16, 47, 1224
Result (x y micro-second), 13, 64, 1251
Result (x y micro-second), 23, 32, 1239
Result (x y micro-second), 32, 29, 1149
Result (x y micro-second), 23, 5, 1147
Result (x y micro-second), 47, 47, 1014
Result (x y micro-second), 7, 5, 1348
Result (x y micro-second), 23, 1, 1362
Result (x y micro-second), 23, 47, 1009
Result (x y micro-second), 5, 1, 2447
Result (x y micro-second), 1, 7, 2528
Result (x y micro-second), 64, 5, 1118
Result (x y micro-second), 11, 32, 1218
Result (x y micro-second), 13, 29, 1190
Result (x y micro-second), 23, 29, 1222
Result (x y micro-second), 23, 5, 1153
Result (x y micro-second), 11, 64, 1265
Result (x y micro-second), 47, 47, 1007
Result (x y micro-second), 16, 23, 1149
Result (x y micro-second), 13, 47, 1198
Result (x y micro-second), 32, 7, 1134
Result (x y micro-second), 32, 32, 1150
Result (x y micro-second), 11, 11, 1193
Result (x y micro-second), 32, 64, 1011
Result (x y micro-second), 5, 47, 1275
Result (x y micro-second), 32, 64, 1002
Result (x y micro-second), 47, 29, 1010
Result (x y micro-second), 5, 1, 2463
Result (x y micro-second), 11, 11, 1181
Result (x y micro-second), 29, 29, 1192
Result (x y micro-second), 64, 7, 1150
Result (x y micro-second), 23, 7, 1160
Result (x y micro-second), 64, 13, 1159
Result (x y micro-second), 64, 7, 1159
Result (x y micro-second), 1, 11, 2216
Result (x y micro-second), 5, 23, 1259
Result (x y micro-second), 11, 29, 1182
Result (x y micro-second), 11, 13, 1190
Result (x y micro-second), 32, 47, 1013
Result (x y micro-second), 5, 29, 1269
Result (x y micro-second), 16, 47, 1217
Result (x y micro-second), 29, 11, 1149
Result (x y micro-second), 13, 32, 1249
Result (x y micro-second), 11, 16, 1206
Result (x y micro-second), 47, 47, 1018
Result (x y micro-second), 5, 47, 1269
Result (x y micro-second), 1, 32, 2037
Result (x y micro-second), 47, 47, 1007
Result (x y micro-second), 64, 23, 1013
Result (x y micro-second), 1, 32, 2028
Result (x y micro-second), 47, 64, 997
Result (x y micro-second), 11, 5, 1207
Result (x y micro-second), 23, 13, 1169
Result (x y micro-second), 13, 5, 1188
Result (x y micro-second), 1, 16, 2126
Result (x y micro-second), 47, 16, 1185
Result (x y micro-second), 7, 16, 1231
Result (x y micro-second), 29, 23, 1157
Result (x y micro-second), 1, 32, 2028
Result (x y micro-second), 47, 47, 1006
Result (x y micro-second), 23, 32, 1222
Result (x y micro-second), 16, 16, 1161
Result (x y micro-second), 16, 13, 1154
Result (x y micro-second), 11, 11, 1182
Result (x y micro-second), 64, 5, 1139
Result (x y micro-second), 1, 29, 2037
Result (x y micro-second), 64, 7, 1139
Result (x y micro-second), 23, 11, 1163
Result (x y micro-second), 23, 64, 1012
Result (x y micro-second), 16, 29, 1168
Result (x y micro-second), 16, 11, 1160
Result (x y micro-second), 64, 29, 1015
Result (x y micro-second), 23, 23, 1203
Result (x y micro-second), 1, 23, 2071
Result (x y micro-second), 7, 47, 1246
Result (x y micro-second), 7, 32, 1223
Result (x y micro-second), 23, 32, 1230
Result (x y micro-second), 1, 64, 1934
Result (x y micro-second), 64, 5, 1129
Result (x y micro-second), 7, 29, 1231
Result (x y micro-second), 5, 1, 2456
Result (x y micro-second), 11, 1, 1690
Result (x y micro-second), 7, 32, 1223
Result (x y micro-second), 11, 29, 1202
Result (x y micro-second), 29, 23, 1167
Result (x y micro-second), 5, 64, 1276
Result (x y micro-second), 29, 1, 1358
Result (x y micro-second), 23, 7, 1153
Result (x y micro-second), 16, 13, 1152
Result (x y micro-second), 32, 29, 1156
Result (x y micro-second), 1, 47, 2245
Result (x y micro-second), 7, 29, 1213
Result (x y micro-second), 23, 11, 1158
Result (x y micro-second), 13, 11, 1177
Result (x y micro-second), 13, 13, 1181
Result (x y micro-second), 64, 16, 1151
Result (x y micro-second), 13, 5, 1203
Result (x y micro-second), 11, 29, 1201
Result (x y micro-second), 47, 16, 1204
Result (x y micro-second), 5, 11, 1317
Result (x y micro-second), 1, 7, 2536
Result (x y micro-second), 11, 32, 1218
Result (x y micro-second), 1, 29, 2046
Result (x y micro-second), 32, 16, 1134
Result (x y micro-second), 5, 23, 1268
Result (x y micro-second), 64, 5, 1140
Result (x y micro-second), 13, 1, 1583
Result (x y micro-second), 23, 32, 1215
Result (x y micro-second), 11, 64, 1283
Result (x y micro-second), 47, 16, 1190
Result (x y micro-second), 11, 32, 1208
Result (x y micro-second), 47, 23, 1026
Result (x y micro-second), 29, 5, 1143
Result (x y micro-second), 1, 16, 2122
Result (x y micro-second), 23, 5, 1133
Result (x y micro-second), 47, 16, 1192
Result (x y micro-second), 11, 64, 1258
Result (x y micro-second), 1, 11, 2209
Result (x y micro-second), 23, 32, 1226
Result (x y micro-second), 29, 29, 1187
Result (x y micro-second), 5, 13, 1283
Result (x y micro-second), 29, 11, 1155
Result (x y micro-second), 13, 7, 1168
Result (x y micro-second), 47, 29, 1013
Result (x y micro-second), 1, 29, 2049
Result (x y micro-second), 1, 5, 2860
Result (x y micro-second), 11, 47, 1251
Result (x y micro-second), 29, 64, 1011
Result (x y micro-second), 32, 29, 1156
Result (x y micro-second), 16, 7, 1158
Result (x y micro-second), 32, 5, 1141
Result (x y micro-second), 29, 47, 1038
Result (x y micro-second), 1, 16, 2142
Result (x y micro-second), 7, 23, 1236
Result (x y micro-second), 1, 29, 2052
Result (x y micro-second), 5, 7, 1432
Result (x y micro-second), 1, 23, 2060
Result (x y micro-second), 11, 16, 1195
Result (x y micro-second), 32, 7, 1138
Result (x y micro-second), 64, 23, 1028
Result (x y micro-second), 29, 64, 1019
Result (x y micro-second), 32, 64, 1010
Result (x y micro-second), 32, 7, 1128
Result (x y micro-second), 64, 23, 1011
Result (x y micro-second), 64, 7, 1138
Result (x y micro-second), 23, 16, 1158
Result (x y micro-second), 11, 7, 1200
Result (x y micro-second), 7, 5, 1357
Result (x y micro-second), 16, 13, 1148
Result (x y micro-second), 29, 16, 1170
Result (x y micro-second), 47, 23, 1010
Result (x y micro-second), 16, 47, 1217
Result (x y micro-second), 5, 29, 1263
Result (x y micro-second), 11, 32, 1210
Result (x y micro-second), 29, 11, 1174
Result (x y micro-second), 11, 11, 1178
Result (x y micro-second), 1, 47, 2236
Result (x y micro-second), 11, 29, 1196
Result (x y micro-second), 5, 1, 2442
Result (x y micro-second), 1, 47, 2229
Result (x y micro-second), 7, 23, 1231
Result (x y micro-second), 5, 16, 1258
Result (x y micro-second), 23, 11, 1145
Result (x y micro-second), 23, 1, 1358
Result (x y micro-second), 16, 1, 1487
Result (x y micro-second), 11, 11, 1203
Result (x y micro-second), 16, 29, 1166
Result (x y micro-second), 1, 23, 2057
Result (x y micro-second), 11, 11, 1168
Result (x y micro-second), 11, 64, 1289
Result (x y micro-second), 13, 16, 1180
Result (x y micro-second), 1, 11, 2211
Result (x y micro-second), 11, 11, 1194
Result (x y micro-second), 64, 7, 1139
Result (x y micro-second), 5, 64, 1269
Result (x y micro-second), 1, 11, 2233
Result (x y micro-second), 16, 1, 1499
Result (x y micro-second), 32, 1, 1274
Result (x y micro-second), 11, 5, 1235
Result (x y micro-second), 47, 47, 1003
Result (x y micro-second), 1, 64, 1941
Result (x y micro-second), 64, 16, 1132
Result (x y micro-second), 23, 64, 1005
Result (x y micro-second), 47, 47, 1018
Result (x y micro-second), 5, 1, 2453
Result (x y micro-second), 23, 11, 1154
Result (x y micro-second), 16, 29, 1174
Result (x y micro-second), 23, 23, 1205
Result (x y micro-second), 32, 11, 1146
Result (x y micro-second), 29, 64, 1012
Result (x y micro-second), 7, 16, 1227
Result (x y micro-second), 7, 16, 1228
Result (x y micro-second), 16, 47, 1201
Result (x y micro-second), 11, 47, 1255
Result (x y micro-second), 32, 64, 1010
Result (x y micro-second), 16, 32, 1165
Result (x y micro-second), 64, 7, 1158
Result (x y micro-second), 1, 16, 2111
Result (x y micro-second), 1, 64, 1943
Result (x y micro-second), 7, 5, 1345
Result (x y micro-second), 32, 32, 1159
Result (x y micro-second), 7, 7, 1266
Result (x y micro-second), 7, 29, 1245
Result (x y micro-second), 23, 1, 1359
Result (x y micro-second), 64, 7, 1145
Result (x y micro-second), 64, 1, 1178
Result (x y micro-second), 32, 64, 1016
Result (x y micro-second), 11, 7, 1188
Result (x y micro-second), 32, 29, 1153
Result (x y micro-second), 47, 23, 1020
Result (x y micro-second), 13, 5, 1198
Result (x y micro-second), 5, 11, 1310
Result (x y micro-second), 7, 1, 2045
Result (x y micro-second), 29, 7, 1144
Result (x y micro-second), 64, 47, 1014
Result (x y micro-second), 11, 29, 1216
Result (x y micro-second), 13, 11, 1175
Result (x y micro-second), 29, 29, 1213
Result (x y micro-second), 64, 1, 1177
Result (x y micro-second), 29, 32, 1176
Result (x y micro-second), 5, 13, 1281
Result (x y micro-second), 32, 47, 1016
Result (x y micro-second), 11, 47, 1264
Result (x y micro-second), 47, 5, 1148
Result (x y micro-second), 11, 23, 1196
Result (x y micro-second), 16, 32, 1168
Result (x y micro-second), 16, 13, 1156
Result (x y micro-second), 47, 29, 1015
Result (x y micro-second), 13, 16, 1182
Result (x y micro-second), 47, 5, 1145
Result (x y micro-second), 11, 64, 1269
Result (x y micro-second), 23, 32, 1233
Result (x y micro-second), 11, 1, 1694
Result (x y micro-second), 13, 1, 1595
Result (x y micro-second), 5, 47, 1257
Result (x y micro-second), 32, 7, 1135
Result (x y micro-second), 7, 11, 1232
Result (x y micro-second), 47, 16, 1193
Result (x y micro-second), 7, 16, 1229
Result (x y micro-second), 13, 11, 1180
Result (x y micro-second), 47, 47, 1011
Result (x y micro-second), 1, 13, 2172
Result (x y micro-second), 5, 64, 1273
Result (x y micro-second), 1, 11, 2211
Result (x y micro-second), 13, 32, 1208
Result (x y micro-second), 16, 23, 1162
Result (x y micro-second), 29, 47, 1015
Result (x y micro-second), 11, 32, 1205
Result (x y micro-second), 64, 16, 1144
Result (x y micro-second), 47, 47, 1013
Result (x y micro-second), 11, 13, 1198
Result (x y micro-second), 1, 16, 2115
Result (x y micro-second), 32, 29, 1157
Result (x y micro-second), 64, 32, 1010
Result (x y micro-second), 64, 13, 1155
Result (x y micro-second), 47, 47, 1007
Result (x y micro-second), 1, 64, 1945
Result (x y micro-second), 7, 64, 1259
Result (x y micro-second), 29, 1, 1312
Result (x y micro-second), 11, 47, 1262
Result (x y micro-second), 32, 23, 1184
Result (x y micro-second), 13, 11, 1174
Result (x y micro-second), 13, 16, 1188
Result (x y micro-second), 1, 5, 2876
Result (x y micro-second), 32, 29, 1147
Result (x y micro-second), 64, 1, 1166
Result (x y micro-second), 5, 32, 1280
Result (x y micro-second), 11, 29, 1198
Result (x y micro-second), 13, 5, 1204
Result (x y micro-second), 7, 13, 1223
Result (x y micro-second), 11, 1, 1688
Result (x y micro-second), 1, 11, 2206
Result (x y micro-second), 64, 1, 1166
Result (x y micro-second), 5, 13, 1284
Result (x y micro-second), 1, 13, 2170
Result (x y micro-second), 11, 29, 1196
Result (x y micro-second), 32, 16, 1142
Result (x y micro-second), 32, 5, 1133
Result (x y micro-second), 1, 32, 2035
Result (x y micro-second), 11, 23, 1200
Result (x y micro-second), 16, 7, 1153
Result (x y micro-second), 29, 13, 1158
Result (x y micro-second), 47, 32, 1009
Result (x y micro-second), 1, 7, 2539
Result (x y micro-second), 47, 7, 1151
Result (x y micro-second), 13, 5, 1201
Result (x y micro-second), 7, 13, 1215
Result (x y micro-second), 11, 1, 1684
Result (x y micro-second), 13, 13, 1191
Result (x y micro-second), 13, 11, 1177
Result (x y micro-second), 32, 16, 1133
Result (x y micro-second), 32, 16, 1141
Result (x y micro-second), 1, 16, 2137
Result (x y micro-second), 13, 47, 1186
Result (x y micro-second), 7, 16, 1233
Result (x y micro-second), 13, 16, 1183
Result (x y micro-second), 23, 47, 1012
Result (x y micro-second), 47, 13, 1154
Result (x y micro-second), 29, 29, 1201
Result (x y micro-second), 13, 11, 1192
Result (x y micro-second), 47, 47, 1015
Result (x y micro-second), 16, 64, 1178
Result (x y micro-second), 1, 32, 2034
Result (x y micro-second), 64, 16, 1171
Result (x y micro-second), 5, 5, 1428
Result (x y micro-second), 23, 29, 1166
Result (x y micro-second), 16, 11, 1150
Result (x y micro-second), 64, 11, 1191
Result (x y micro-second), 32, 5, 1136
Result (x y micro-second), 64, 32, 1031
Result (x y micro-second), 29, 11, 1155
Result (x y micro-second), 5, 1, 2451
Result (x y micro-second), 1, 64, 1930
Result (x y micro-second), 13, 16, 1174
Result (x y micro-second), 16, 32, 1168
Result (x y micro-second), 32, 11, 1148
Result (x y micro-second), 13, 7, 1172
Result (x y micro-second), 1, 16, 2111
Result (x y micro-second), 32, 32, 1127
Result (x y micro-second), 32, 29, 1156
Result (x y micro-second), 32, 11, 1137
Result (x y micro-second), 11, 7, 1192
Result (x y micro-second), 13, 1, 1594
Result (x y micro-second), 16, 5, 1153
Result (x y micro-second), 7, 13, 1226
Result (x y micro-second), 29, 29, 1202
Result (x y micro-second), 16, 32, 1173
Result (x y micro-second), 29, 11, 1157
